Timestamp,Machine_ID,Temperature_C,Vibration_mm_s,Pressure_Bar,Product_Count,Maintenance_Flag
01-01-2025 00:00,M04,51.74,3.6,6.91,135,1
01-01-2025 01:00,M05,72,2.78,9.57,142,0
01-01-2025 02:00,M03,66.69,4.74,5.96,117,0
01-01-2025 03:00,M05,61.95,3.69,8.94,133,0
01-01-2025 04:00,M05,65.1,4.15,6.48,81,0
01-01-2025 05:00,M02,75.88,3.17,10.26,81,0
01-01-2025 06:00,M03,85.63,4.35,6.15,91,0
01-01-2025 07:00,M03,77.51,3.39,9.38,119,0
01-01-2025 08:00,M03,70.15,3.89,7.9,81,0
01-01-2025 09:00,M05,78.65,4.7,7.56,136,0
01-01-2025 10:00,M04,71.33,4.63,8.22,126,0
01-01-2025 11:00,M03,69.44,3.98,8.76,115,0
01-01-2025 12:00,M05,65.77,2.59,6.91,83,0
01-01-2025 13:00,M02,60.99,6.39,7.02,103,0
01-01-2025 14:00,M04,71.88,5.4,8.78,141,0
01-01-2025 15:00,M02,76.26,4.58,5.95,81,0
01-01-2025 16:00,M04,74.23,3.4,7.3,94,0
01-01-2025 17:00,M05,71.67,3.91,11.65,128,0
01-01-2025 18:00,M01,67.43,3.57,6.84,114,0
01-01-2025 19:00,M04,79.87,5.01,9.38,126,0
01-01-2025 20:00,M02,64.46,4.21,7.3,103,0
01-01-2025 21:00,M05,81.21,3.37,8.61,139,0
01-01-2025 22:00,M04,66.98,3.62,8.79,127,0
01-01-2025 23:00,M01,68.98,4.9,9.35,102,0
02-01-2025 00:00,M01,63.27,5.28,7.76,91,0
02-01-2025 01:00,M03,70.99,5.22,10.39,120,0
02-01-2025 02:00,M03,82.8,4.61,7.29,108,0
02-01-2025 03:00,M02,79.13,3.8,8.28,149,0
02-01-2025 04:00,M04,82.83,1.41,8.29,130,0
02-01-2025 05:00,M04,79.18,4.24,6.65,102,0
02-01-2025 06:00,M03,66.17,4,7.66,110,0
02-01-2025 07:00,M04,72.35,4.11,8.19,100,0
02-01-2025 08:00,M04,68.76,4.04,7.48,103,0
02-01-2025 09:00,M01,85.64,2.94,10.93,88,0
02-01-2025 10:00,M03,65.43,4.45,6.99,101,0
02-01-2025 11:00,M05,82.15,4.51,9.42,83,0
02-01-2025 12:00,M03,82.14,4.55,9.03,82,0
02-01-2025 13:00,M05,89.64,4.76,7.98,107,0
02-01-2025 14:00,M01,71.72,4.48,6.96,94,0
02-01-2025 15:00,M02,80.7,3.67,7.08,87,0
02-01-2025 16:00,M04,93.25,3.94,7.38,127,0
02-01-2025 17:00,M01,70.06,4.07,5.86,131,0
02-01-2025 18:00,M04,62.72,4.09,6.8,134,0
02-01-2025 19:00,M02,59.96,4.8,6.22,116,0
02-01-2025 20:00,M02,80.7,4.51,9.62,83,0
02-01-2025 21:00,M01,59.93,5.66,8.74,134,0
02-01-2025 22:00,M02,72.02,5.77,8.94,91,0
02-01-2025 23:00,M05,78.5,4.06,8.71,98,0
03-01-2025 00:00,M02,76.48,0.93,8.2,136,0
03-01-2025 01:00,M04,78.4,4.99,9.75,116,0
03-01-2025 02:00,M04,76.78,3.57,7.27,86,0
03-01-2025 03:00,M04,85.23,3.36,8.13,134,0
03-01-2025 04:00,M04,67.38,3.68,8.9,107,0
03-01-2025 05:00,M05,69.58,3.64,6.41,116,0
03-01-2025 06:00,M03,68.82,4.49,11.72,140,0
03-01-2025 07:00,M01,81.64,2.75,8.03,118,0
03-01-2025 08:00,M04,82.2,3.14,8.17,102,0
03-01-2025 09:00,M02,78.61,4.27,9.51,131,0
03-01-2025 10:00,M04,84.47,4.5,9.1,90,0
03-01-2025 11:00,M02,65.58,4.51,8.05,145,0
03-01-2025 12:00,M02,88.34,3.37,8.16,92,0
03-01-2025 13:00,M04,87.19,3.22,6.2,120,0
03-01-2025 14:00,M05,80.88,3.59,7.33,128,0
03-01-2025 15:00,M02,89.25,4.19,8.62,94,0
03-01-2025 16:00,M02,61.75,5.19,8.53,135,0
03-01-2025 17:00,M04,70.8,2.36,9.47,133,0
03-01-2025 18:00,M02,69.12,3.82,7.86,110,0
03-01-2025 19:00,M02,80.77,2.93,6.34,140,0
03-01-2025 20:00,M04,66.6,2.68,9.27,137,0
03-01-2025 21:00,M04,81.06,4.77,9.72,139,0
03-01-2025 22:00,M01,85.96,4.44,9.08,132,0
03-01-2025 23:00,M05,80.56,4.36,7.8,140,0
04-01-2025 00:00,M05,77.27,4.74,9.25,121,0
04-01-2025 01:00,M02,67.1,3.62,12.11,108,0
04-01-2025 02:00,M05,68.23,3.65,8.14,106,0
04-01-2025 03:00,M02,85,5.75,6.43,123,0
04-01-2025 04:00,M01,81.23,3.8,7.3,84,0
04-01-2025 05:00,M04,74.69,4.59,8.75,131,0
04-01-2025 06:00,M04,71.66,4.01,6.07,132,0
04-01-2025 07:00,M04,58.79,2.52,8.2,131,0
04-01-2025 08:00,M05,66.43,2.36,8.46,117,0
04-01-2025 09:00,M01,90.29,3.54,9.84,123,0
04-01-2025 10:00,M05,64.76,4.84,9.57,132,0
04-01-2025 11:00,M05,76.52,4.63,9.04,81,0
04-01-2025 12:00,M01,83.06,4.73,5.4,133,0
04-01-2025 13:00,M01,64.96,3.21,9.11,114,0
04-01-2025 14:00,M01,76.48,5.29,8.85,125,0
04-01-2025 15:00,M01,82.5,3.23,8.31,134,0
04-01-2025 16:00,M04,75.1,4.17,5.92,90,0
04-01-2025 17:00,M03,97.95,3.99,7.07,108,0
04-01-2025 18:00,M03,61.65,3.86,6.6,148,0
04-01-2025 19:00,M01,83.47,5.07,5.58,142,0
04-01-2025 20:00,M03,73.62,3.44,8,126,0
04-01-2025 21:00,M03,81.18,2.92,7.04,86,0
04-01-2025 22:00,M01,78.53,4.02,11.15,143,0
04-01-2025 23:00,M03,69.13,3.68,7.8,143,0
05-01-2025 00:00,M05,76.83,6.7,9.55,91,0
05-01-2025 01:00,M02,60.14,4.54,6.12,91,0
05-01-2025 02:00,M02,79.83,3.67,7.36,115,0
05-01-2025 03:00,M01,77.39,3.16,8.12,108,0
05-01-2025 04:00,M04,80.11,2.5,6.91,90,0
05-01-2025 05:00,M01,83.46,3.18,7.49,132,0
05-01-2025 06:00,M04,77.94,4.09,7.74,149,0
05-01-2025 07:00,M02,76.18,5.14,7.72,126,0
05-01-2025 08:00,M01,67.95,4.9,10.23,112,0
05-01-2025 09:00,M05,69.3,4.18,8.45,146,0
05-01-2025 10:00,M03,84.49,3.74,8.58,122,0
05-01-2025 11:00,M04,86.49,4.22,8.65,97,0
